Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
3068,0.0024,0.17,16.12,0,Red,M
3042,0.0005,0.1542,16.6,0,Red,M
2600,0.0003,0.102,18.7,0,Red,M
2800,0.0002,0.16,16.65,0,Red,M
1939,0.000138,0.103,20.06,0,Red,M
2840,0.00065,0.11,16.98,0,Red,M
2637,0.00073,0.127,17.22,0,Red,M
2600,0.0004,0.096,17.4,0,Red,M
2650,0.00069,0.11,17.45,0,Red,M
2700,0.00018,0.13,16.05,0,Red,M
3600,0.0029,0.51,10.69,1,Red,M
3129,0.0122,0.3761,11.79,1,Red,M
3134,0.0004,0.196,13.21,1,Red,M
3628,0.0055,0.393,10.48,1,Red,M
2650,0.0006,0.14,11.782,1,Red,M
3340,0.0038,0.24,13.07,1,Red,M
2799,0.0018,0.16,14.79,1,Red,M
3692,0.00367,0.47,10.8,1,Red,M
3192,0.00362,0.1967,13.53,1,Red,M
3441,0.039,0.351,11.18,1,Red,M
3490,270000,1520,-9.4,5,Red,M
3750,283000,1260,-7.63,5,Red,M
3834,272000,1183,-9.2,5,Red,M
3749,150000,1648,-8.05,5,Orange,M
3650,310000,1324,-7.79,5,Red,M
3450,263000,1349,-11.75,5,Red,M
3660,363000,1673,-11.92,5,Red,M
3450,174000,1284,-11.28,5,Red,M
3752,209000,955,-11.24,5,Red,M
3535,195000,1546,-11.36,5,Red,M
3341,0.0056,0.057,16.23,0,Red,M
3432,0.00067,0.19,16.94,0,Red,M
2983,0.00024,0.094,16.09,0,Red,M
2835,0.00034,0.0918,16.96,0,Red,M
2935,0.00014,0.116,18.89,0,Red,M
3295,0.00098,0.132,17.13,0,Red,M
2945,0.00032,0.093,18.34,0,Red,M
2817,0.00098,0.0911,16.45,0,Red,M
2774,0.00036,0.118,17.39,0,Red,M
2871,0.00072,0.12,19.43,0,Red,M
3345,0.021,0.273,12.3,1,Red,M
3607,0.022,0.38,10.12,1,Red,M
3304,0.0085,0.18,13.2,1,Red,M
3150,0.0088,0.35,11.94,1,Red,M
3550,0.004,0.291,10.89,1,Red,M
3180,0.001,0.35,11.76,1,Red,M
2890,0.0034,0.24,13.46,1,Red,M
3342,0.0015,0.307,11.87,1,Red,M
2621,0.0006,0.098,12.81,1,Red,M
3158,0.00135,0.161,13.98,1,Red,M
40000,813000,14,-6.23,4,Blue,O
33000,427000,36,-5.76,4,Blue,O
37120,635000,83,-6.89,4,Blue,O
41096,712000,12,-5.91,4,Blue,O
34245,231000,42,-6.12,4,Blue,O
44630,363000,63,-5.83,4,Blue,O
32893,784000,36,-6.34,4,Blue,O
34345,742000,57,-6.24,4,Blue,O
33421,352000,67,-5.79,4,Blue,O
37800,202900,6.86,-4.56,3,Blue,O
25390,623000,57,-5.92,4,Blue,O
31567,751000,36,-6.245,4,Blue,O
42675,452000,83,-5.62,4,Blue,O
45752,745000,97,-6.63,4,Blue,O
38927,739000,35,-7.34,4,Blue,O
47282,431000,24,-7.22,4,Blue,O
39923,652000,73,-5.69,4,Blue,O
36373,598000,39,-5.83,4,Blue,O
37383,342900,30,-6.09,4,Blue,O
39373,424520,24,-5.99,4,Blue,O
43678,244290,35,-6.27,4,Blue,O
32749,332520,76,-7.02,4,Blue,O
49383,342940,98,-6.98,4,Blue,O
33440,537430,81,-5.975,4,Blue,O
46787,246730,62,-6.35,4,Blue,O
38734,524780,46,-7.45,4,Blue,O
49892,593900,80,-7.262,4,Blue,O
40930,783930,25,-6.224,4,Blue,O
33095,747820,86,-5.905,4,Blue,O
31738,748890,92,-7.346,4,Blue,O
36108,698000,10.2,-4.4,3,Blue,O
39000,204000,10.6,-4.7,3,Blue,O
25000,0.056,0.0084,10.58,2,Blue White,B
7740,0.00049,0.01234,14.02,2,White,A
7220,0.00017,0.011,14.23,2,White,F
8500,0.0005,0.01,14.5,2,White,A
16500,0.013,0.014,11.89,2,Blue White,B
12990,0.000085,0.00984,12.23,2,Yellowish White,F
8570,0.00081,0.0097,14.2,2,Blue white,A
7700,0.00011,0.0128,14.47,2,Yellowish White,F
11790,0.00015,0.011,12.59,2,Yellowish White,F
7230,0.00008,0.013,14.08,2,Pale yellow orange,F
30000,28840,6.3,-4.2,3,Blue-white,B
15276,1136,7.2,-1.97,3,Blue-white,B
9700,74,2.89,0.16,3,Whitish,B
5800,0.81,0.9,5.05,3,yellow-white,F
8052,8.7,1.8,2.42,3,Whitish,A
6757,1.43,1.12,2.41,3,yellow-white,F
6380,1.35,0.98,2.93,3,yellow-white,F
5936,1.357,1.106,4.46,3,yellow-white,F
5587,0.819,0.99,5.03,3,yellow-white,F
7100,0.00029,0.012,14.09,2,White-Yellow,F
10574,0.00014,0.0092,12.02,2,White,F
8930,0.00056,0.0095,13.78,2,white,A
17200,0.00098,0.015,12.45,2,Blue White,B
14100,0.00067,0.0089,12.17,2,Blue White,B
9675,0.00045,0.0109,13.98,2,Blue White,A
12010,0.00078,0.0092,12.13,2,Blue White,B
10980,0.00074,0.0087,11.19,2,Blue White,B
13720,0.00018,0.00892,12.97,2,white,F
19860,0.0011,0.0131,11.34,2,Blue ,B
5300,0.59,0.91,5.49,3,yellow-white,F
4526,0.153,0.865,6.506,3,yellowish,K
4077,0.085,0.795,6.228,3,yellowish,K
4980,0.357,1.13,4.78,3,Yellowish,K
9030,45,2.63,1.45,3,Blue-white,A
11250,672,6.98,-2.3,3,Blue-white,A
5112,0.63,0.876,4.68,3,Orange-Red,K
7720,7.92,1.34,2.44,3,yellow-white,F
12098,689,7.01,0.02,3,Blue-white,A
8924,0.00028,0.00879,14.87,2,Blue white,A
12912,0.00071,0.00945,12.83,2,Blue white,B
14732,0.00011,0.00892,12.89,2,white,F
7723,0.00014,0.00878,14.81,2,White,A
12984,0.00088,0.00996,11.23,2,Blue White,B
29560,188000,6.02,-4.01,3,Blue-white,B
8945,38,2.487,0.12,3,Blue-White,A
14060,1092,5.745,-2.04,3,Blue-white,A
16390,1278,5.68,-3.32,3,Blue-white,B
25070,14500,5.92,-3.98,3,Blue-white,B
28700,16790,6.4,-4.09,3,Blue-white,B
26140,14520,5.49,-3.8,3,Blue-white,B
20120,4720,6.78,-3.4,3,Blue-white,B
13023,998,6.21,-1.38,3,Blue-white,A
16790,0.0014,0.0121,12.87,2,Blue,B
15680,0.00122,0.0114,11.92,2,Blue,B
14982,0.00118,0.0113,12.23,2,Blue,B
13340,0.00109,0.0116,12.9,2,Blue,B
18340,0.00134,0.0124,11.22,2,Blue,B
19920,0.00156,0.0142,11.34,2,Blue,B
24020,0.00159,0.0127,10.55,2,Blue,B
23092,0.00132,0.0104,10.18,2,Blue,B
17920,0.00111,0.0106,11.66,2,Blue,B
19360,0.00125,0.00998,11.62,2,Blue,B
22350,12450,6.36,-3.67,3,Blue-white,B
10012,552,5.856,0.013,3,Blue-white,A
13089,788,5.992,-0.12,3,Blue-white,A
22012,6748,6.64,-2.55,3,Blue-white,B
17140,883,5.653,-2.64,3,Blue-white,B
8250,9.25,1.93,-0.98,3,yellow-white,F
